Company,Ticker
Activision Blizzard,ATVI
Adobe Inc.,ADBE
Advanced Micro Devices,AMD
Alexion Pharmaceuticals,ALXN
"Align Technology, Inc.",ALGN
Alphabet Inc. (Class A),GOOGL
Alphabet Inc. (Class C),GOOG
Amazon.com,AMZN
American Airlines Group,AAL
Amgen Inc.,AMGN
Analog Devices,ADI
ANSYS,ANSS
Apple Inc.,AAPL
"Applied Materials, Inc.",AMAT
ASML Holding,ASML
"Autodesk, Inc.",ADSK
"Automatic Data Processing, Inc.",ADP
"Baidu.com, Inc.",BIDU
"Biogen, Inc",BIIB
"BioMarin Pharmaceutical, Inc.",BMRN
Booking Holdings,BKNG
Broadcom Inc.,AVGO
Cadence Design Systems,CDNS
CDW,CDW
Cerner Corporation,CERN
"Charter Communications, Inc.",CHTR
Check Point Software Technologies Ltd.,CHKP
Cintas Corporation,CTAS
Cisco Systems,CSCO
Citrix Systems,CTXS
Cognizant Technology Solutions Corporation,CTSH
Comcast Corporation,CMCSA
Copart,CPRT
CoStar Group,CSGP
Costco Wholesale Corporation,COST
CSX Corporation,CSX
"Dollar Tree, Inc.",DLTR
eBay Inc.,EBAY
Electronic Arts,EA
Exelon Corporation,EXC
Expedia Group,EXPE
"Facebook, Inc.",FB
Fastenal Company,FAST
"Fiserv, Inc.",FISV
Fox Corporation (Class A),FOXA
Fox Corporation (Class B),FOX
"Gilead Sciences, Inc.",GILD
IDEXX Laboratories,IDXX
"Illumina, Inc.",ILMN
Incyte Corporation,INCY
Intel Corporation,INTC
"Intuit, Inc.",INTU
Intuitive Surgical Inc.,ISRG
JD.com,JD
KLA Corporation,KLAC
Kraft Heinz,KHC
"Lam Research, Inc.",LRCX
Liberty Global (Class A),LBTYA
Liberty Global (Class C),LBTYK
Lululemon athletica,LULU
"Marriott International, Inc.",MAR
Maxim Integrated Products,MXIM
MercadoLibre,MELI
Microchip Technology,MCHP
"Micron Technology, Inc.",MU
Microsoft Corporation,MSFT
Mondel?z International,MDLZ
Monster Beverage Corporation,MNST
NetApp,NTAP
"NetEase, Inc.",NTES
Netflix,NFLX
NVIDIA Corporation,NVDA
NXP Semiconductors N.V.,NXPI
"O'Reilly Automotive, Inc.",ORLY
PACCAR Inc.,PCAR
"Paychex, Inc.",PAYX
"PayPal Holdings, Inc.",PYPL
"PepsiCo, Inc.",PEP
QUALCOMM Incorporated,QCOM
Regeneron Pharmaceuticals,REGN
Ross Stores Inc.,ROST
Seattle Genetics,SGEN
"Sirius XM Radio, Inc.",SIRI
"Skyworks Solutions, Inc.",SWKS
Splunk,SPLK
Starbucks Corporation,SBUX
"Synopsys, Inc.",SNPS
T-Mobile US,TMUS
"Take-Two Interactive, Inc.",TTWO
"Tesla, Inc.",TSLA
"Texas Instruments, Inc.",TXN
Trip.com Group,TCOM
Ulta Beauty,ULTA
United Airlines Holdings,UAL
VeriSign,VRSN
Verisk Analytics,VRSK
Vertex Pharmaceuticals,VRTX
"Walgreen Boots Alliance, Inc.",WBA
Western Digital,WDC
Willis Towers Watson,WLTW
"Workday, Inc.",WDAY
"Xcel Energy, Inc.",XEL
"Xilinx, Inc.",XLNX
